Date,Start (ET),AwayTeam,AwayPoints,HomeTeam,HomePoints,Arena
"Tue, Oct 18, 2022",7:30p,Philadelphia 76ers,117.0,Boston Celtics,126.0,TD Garden
"Tue, Oct 18, 2022",10:00p,Los Angeles Lakers,109.0,Golden State Warriors,123.0,Chase Center
"Wed, Oct 19, 2022",7:00p,Orlando Magic,109.0,Detroit Pistons,113.0,Little Caesars Arena
"Wed, Oct 19, 2022",7:00p,Washington Wizards,114.0,Indiana Pacers,107.0,Gainbridge Fieldhouse
"Wed, Oct 19, 2022",7:30p,Houston Rockets,107.0,Atlanta Hawks,117.0,State Farm Arena
"Wed, Oct 19, 2022",7:30p,New Orleans Pelicans,130.0,Brooklyn Nets,108.0,Barclays Center
"Wed, Oct 19, 2022",7:30p,New York Knicks,112.0,Memphis Grizzlies,115.0,FedEx Forum
"Wed, Oct 19, 2022",7:30p,Chicago Bulls,116.0,Miami Heat,108.0,FTX Arena
"Wed, Oct 19, 2022",7:30p,Cleveland Cavaliers,105.0,Toronto Raptors,108.0,Scotiabank Arena
"Wed, Oct 19, 2022",8:00p,Oklahoma City Thunder,108.0,Minnesota Timberwolves,115.0,Target Center
"Wed, Oct 19, 2022",8:00p,Charlotte Hornets,129.0,San Antonio Spurs,102.0,AT&T Center
"Wed, Oct 19, 2022",9:00p,Denver Nuggets,102.0,Utah Jazz,123.0,Vivint Arena
"Wed, Oct 19, 2022",10:00p,Dallas Mavericks,105.0,Phoenix Suns,107.0,Footprint Center
"Wed, Oct 19, 2022",10:00p,Portland Trail Blazers,115.0,Sacramento Kings,108.0,Golden 1 Center
"Thu, Oct 20, 2022",7:30p,Milwaukee Bucks,90.0,Philadelphia 76ers,88.0,Wells Fargo Center
"Thu, Oct 20, 2022",10:00p,Los Angeles Clippers,103.0,Los Angeles Lakers,97.0,Crypto.com Arena
"Fri, Oct 21, 2022",7:00p,New Orleans Pelicans,124.0,Charlotte Hornets,112.0,Spectrum Center
"Fri, Oct 21, 2022",7:00p,San Antonio Spurs,137.0,Indiana Pacers,134.0,Gainbridge Fieldhouse
"Fri, Oct 21, 2022",7:00p,Chicago Bulls,100.0,Washington Wizards,102.0,Capital One Arena
"Fri, Oct 21, 2022",7:30p,Orlando Magic,98.0,Atlanta Hawks,108.0,State Farm Arena
"Fri, Oct 21, 2022",7:30p,Toronto Raptors,105.0,Brooklyn Nets,109.0,Barclays Center
"Fri, Oct 21, 2022",7:30p,Boston Celtics,111.0,Miami Heat,104.0,FTX Arena
"Fri, Oct 21, 2022",7:30p,Detroit Pistons,106.0,New York Knicks,130.0,Madison Square Garden (IV)
"Fri, Oct 21, 2022",8:00p,Memphis Grizzlies,129.0,Houston Rockets,122.0,Toyota Center
"Fri, Oct 21, 2022",8:00p,Utah Jazz,132.0,Minnesota Timberwolves,126.0,Target Center
"Fri, Oct 21, 2022",10:00p,Denver Nuggets,128.0,Golden State Warriors,123.0,Chase Center
"Fri, Oct 21, 2022",10:00p,Phoenix Suns,111.0,Portland Trail Blazers,113.0,Moda Center
"Sat, Oct 22, 2022",6:00p,San Antonio Spurs,114.0,Philadelphia 76ers,105.0,Wells Fargo Center
"Sat, Oct 22, 2022",7:00p,Detroit Pistons,115.0,Indiana Pacers,124.0,Gainbridge Fieldhouse
"Sat, Oct 22, 2022",7:00p,Boston Celtics,126.0,Orlando Magic,120.0,Amway Center
"Sat, Oct 22, 2022",8:00p,Cleveland Cavaliers,128.0,Chicago Bulls,96.0,United Center
"Sat, Oct 22, 2022",8:00p,Toronto Raptors,109.0,Miami Heat,112.0,FTX Arena
"Sat, Oct 22, 2022",8:00p,Houston Rockets,105.0,Milwaukee Bucks,125.0,Fiserv Forum
"Sat, Oct 22, 2022",8:30p,Memphis Grizzlies,96.0,Dallas Mavericks,137.0,American Airlines Center
"Sat, Oct 22, 2022",9:00p,Oklahoma City Thunder,117.0,Denver Nuggets,122.0,Ball Arena
"Sat, Oct 22, 2022",10:00p,Los Angeles Clippers,111.0,Sacramento Kings,109.0,Golden 1 Center
"Sun, Oct 23, 2022",3:30p,Portland Trail Blazers,106.0,Los Angeles Lakers,104.0,Crypto.com Arena
"Sun, Oct 23, 2022",5:00p,Charlotte Hornets,126.0,Atlanta Hawks,109.0,State Farm Arena
"Sun, Oct 23, 2022",7:00p,Washington Wizards,107.0,Cleveland Cavaliers,117.0,Rocket Mortgage Fieldhouse
"Sun, Oct 23, 2022",7:00p,Utah Jazz,122.0,New Orleans Pelicans,121.0,Smoothie King Center
"Sun, Oct 23, 2022",8:00p,Minnesota Timberwolves,116.0,Oklahoma City Thunder,106.0,Paycom Center
"Sun, Oct 23, 2022",8:30p,Sacramento Kings,125.0,Golden State Warriors,130.0,Chase Center
"Sun, Oct 23, 2022",10:00p,Phoenix Suns,112.0,Los Angeles Clippers,95.0,Crypto.com Arena
"Mon, Oct 24, 2022",7:00p,Indiana Pacers,106.0,Philadelphia 76ers,120.0,Wells Fargo Center
"Mon, Oct 24, 2022",7:30p,Toronto Raptors,98.0,Miami Heat,90.0,FTX Arena
"Mon, Oct 24, 2022",7:30p,Orlando Magic,102.0,New York Knicks,115.0,Madison Square Garden (IV)
"Mon, Oct 24, 2022",8:00p,Boston Celtics,102.0,Chicago Bulls,120.0,United Center
"Mon, Oct 24, 2022",8:00p,Utah Jazz,108.0,Houston Rockets,114.0,Toyota Center
"Mon, Oct 24, 2022",8:00p,Brooklyn Nets,124.0,Memphis Grizzlies,134.0,FedEx Forum
"Mon, Oct 24, 2022",8:00p,San Antonio Spurs,115.0,Minnesota Timberwolves,106.0,Target Center
"Mon, Oct 24, 2022",10:00p,Denver Nuggets,110.0,Portland Trail Blazers,135.0,Moda Center
"Tue, Oct 25, 2022",7:00p,Detroit Pistons,99.0,Washington Wizards,120.0,Capital One Arena
"Tue, Oct 25, 2022",7:30p,Dallas Mavericks,111.0,New Orleans Pelicans,113.0,Smoothie King Center
"Tue, Oct 25, 2022",8:00p,Los Angeles Clippers,94.0,Oklahoma City Thunder,108.0,Paycom Center
"Tue, Oct 25, 2022",10:00p,Golden State Warriors,105.0,Phoenix Suns,134.0,Footprint Center
"Wed, Oct 26, 2022",7:00p,Orlando Magic,92.0,Cleveland Cavaliers,103.0,Rocket Mortgage Fieldhouse
"Wed, Oct 26, 2022",7:00p,Atlanta Hawks,118.0,Detroit Pistons,113.0,Little Caesars Arena
"Wed, Oct 26, 2022",7:30p,Brooklyn Nets,99.0,Milwaukee Bucks,110.0,Fiserv Forum
"Wed, Oct 26, 2022",7:30p,Charlotte Hornets,131.0,New York Knicks,134.0,Madison Square Garden (IV)
"Wed, Oct 26, 2022",7:30p,Philadelphia 76ers,109.0,Toronto Raptors,119.0,Scotiabank Arena
"Wed, Oct 26, 2022",8:00p,Indiana Pacers,109.0,Chicago Bulls,124.0,United Center
"Wed, Oct 26, 2022",8:00p,San Antonio Spurs,122.0,Minnesota Timberwolves,134.0,Target Center
"Wed, Oct 26, 2022",9:00p,Houston Rockets,101.0,Utah Jazz,109.0,Vivint Arena
"Wed, Oct 26, 2022",10:00p,Los Angeles Lakers,99.0,Denver Nuggets,110.0,Ball Arena
"Wed, Oct 26, 2022",10:00p,Miami Heat,119.0,Portland Trail Blazers,98.0,Moda Center
"Thu, Oct 27, 2022",7:30p,Dallas Mavericks,129.0,Brooklyn Nets,125.0,Barclays Center
"Thu, Oct 27, 2022",8:00p,Los Angeles Clippers,110.0,Oklahoma City Thunder,118.0,Paycom Center
"Thu, Oct 27, 2022",10:00p,Miami Heat,110.0,Golden State Warriors,123.0,Chase Center
"Thu, Oct 27, 2022",10:00p,Memphis Grizzlies,125.0,Sacramento Kings,110.0,Golden 1 Center
"Fri, Oct 28, 2022",7:00p,Atlanta Hawks,136.0,Detroit Pistons,112.0,Little Caesars Arena
"Fri, Oct 28, 2022",7:00p,Charlotte Hornets,93.0,Orlando Magic,113.0,Amway Center
"Fri, Oct 28, 2022",7:30p,Cleveland Cavaliers,132.0,Boston Celtics,123.0,TD Garden
"Fri, Oct 28, 2022",7:30p,Philadelphia 76ers,112.0,Toronto Raptors,90.0,Scotiabank Arena
"Fri, Oct 28, 2022",7:30p,Indiana Pacers,127.0,Washington Wizards,117.0,Capital One Arena
"Fri, Oct 28, 2022",8:00p,New York Knicks,108.0,Milwaukee Bucks,119.0,Fiserv Forum
"Fri, Oct 28, 2022",8:00p,Los Angeles Lakers,102.0,Minnesota Timberwolves,111.0,Target Center
"Fri, Oct 28, 2022",8:30p,Chicago Bulls,124.0,San Antonio Spurs,129.0,AT&T Center
"Fri, Oct 28, 2022",9:00p,Utah Jazz,101.0,Denver Nuggets,117.0,Ball Arena
"Fri, Oct 28, 2022",10:00p,New Orleans Pelicans,111.0,Phoenix Suns,124.0,Footprint Center
"Fri, Oct 28, 2022",10:00p,Houston Rockets,111.0,Portland Trail Blazers,125.0,Moda Center
"Sat, Oct 29, 2022",6:00p,Miami Heat,113.0,Sacramento Kings,119.0,Golden 1 Center
"Sat, Oct 29, 2022",7:00p,Golden State Warriors,113.0,Charlotte Hornets,120.0,Spectrum Center
"Sat, Oct 29, 2022",7:30p,Indiana Pacers,125.0,Brooklyn Nets,116.0,Barclays Center
"Sat, Oct 29, 2022",8:00p,Philadelphia 76ers,114.0,Chicago Bulls,109.0,United Center
"Sat, Oct 29, 2022",8:00p,Atlanta Hawks,115.0,Milwaukee Bucks,123.0,Fiserv Forum
"Sat, Oct 29, 2022",9:00p,Oklahoma City Thunder,117.0,Dallas Mavericks,111.0,American Airlines Center
"Sat, Oct 29, 2022",9:00p,Memphis Grizzlies,123.0,Utah Jazz,124.0,Vivint Arena
"Sun, Oct 30, 2022",3:00p,New Orleans Pelicans,112.0,Los Angeles Clippers,91.0,Crypto.com Arena
"Sun, Oct 30, 2022",6:00p,Washington Wizards,94.0,Boston Celtics,112.0,TD Garden
"Sun, Oct 30, 2022",6:00p,New York Knicks,108.0,Cleveland Cavaliers,121.0,Rocket Mortgage Fieldhouse
"Sun, Oct 30, 2022",6:00p,Golden State Warriors,114.0,Detroit Pistons,128.0,Little Caesars Arena
"Sun, Oct 30, 2022",7:00p,Minnesota Timberwolves,98.0,San Antonio Spurs,107.0,AT&T Center
"Sun, Oct 30, 2022",7:30p,Orlando Magic,105.0,Dallas Mavericks,114.0,American Airlines Center
"Sun, Oct 30, 2022",9:00p,Houston Rockets,109.0,Phoenix Suns,124.0,Footprint Center
"Sun, Oct 30, 2022",9:30p,Denver Nuggets,110.0,Los Angeles Lakers,121.0,Crypto.com Arena
"Mon, Oct 31, 2022",7:00p,Sacramento Kings,115.0,Charlotte Hornets,108.0,Spectrum Center
"Mon, Oct 31, 2022",7:00p,Philadelphia 76ers,118.0,Washington Wizards,111.0,Capital One Arena
"Mon, Oct 31, 2022",7:30p,Indiana Pacers,109.0,Brooklyn Nets,116.0,Barclays Center
"Mon, Oct 31, 2022",7:30p,Atlanta Hawks,109.0,Toronto Raptors,139.0,Scotiabank Arena
"Mon, Oct 31, 2022",8:00p,Detroit Pistons,108.0,Milwaukee Bucks,110.0,Fiserv Forum
"Mon, Oct 31, 2022",9:00p,Memphis Grizzlies,105.0,Utah Jazz,121.0,Vivint Arena
"Mon, Oct 31, 2022",10:30p,Houston Rockets,93.0,Los Angeles Clippers,95.0,Crypto.com Arena
"Tue, Nov 1, 2022",7:30p,Chicago Bulls,108.0,Brooklyn Nets,99.0,Barclays Center
"Tue, Nov 1, 2022",7:30p,Golden State Warriors,109.0,Miami Heat,116.0,FTX Arena
"Tue, Nov 1, 2022",8:00p,Orlando Magic,108.0,Oklahoma City Thunder,116.0,Paycom Center
"Tue, Nov 1, 2022",10:00p,Minnesota Timberwolves,107.0,Phoenix Suns,116.0,Footprint Center
"Wed, Nov 2, 2022",6:00p,Washington Wizards,121.0,Philadelphia 76ers,111.0,Wells Fargo Center
"Wed, Nov 2, 2022",7:30p,Boston Celtics,113.0,Cleveland Cavaliers,114.0,Rocket Mortgage Fieldhouse
"Wed, Nov 2, 2022",7:30p,Sacramento Kings,107.0,Miami Heat,110.0,FTX Arena
"Wed, Nov 2, 2022",7:30p,Atlanta Hawks,112.0,New York Knicks,99.0,Madison Square Garden (IV)
"Wed, Nov 2, 2022",8:00p,Charlotte Hornets,88.0,Chicago Bulls,106.0,United Center
"Wed, Nov 2, 2022",8:00p,Los Angeles Clippers,109.0,Houston Rockets,101.0,Toyota Center
"Wed, Nov 2, 2022",8:00p,Detroit Pistons,91.0,Milwaukee Bucks,116.0,Fiserv Forum
"Wed, Nov 2, 2022",8:00p,Toronto Raptors,143.0,San Antonio Spurs,100.0,AT&T Center
"Wed, Nov 2, 2022",8:30p,Utah Jazz,100.0,Dallas Mavericks,103.0,American Airlines Center
"Wed, Nov 2, 2022",10:00p,Memphis Grizzlies,111.0,Portland Trail Blazers,106.0,Moda Center
"Wed, Nov 2, 2022",10:30p,New Orleans Pelicans,117.0,Los Angeles Lakers,120.0,Crypto.com Arena
"Thu, Nov 3, 2022",7:00p,Golden State Warriors,129.0,Orlando Magic,130.0,Amway Center
"Thu, Nov 3, 2022",8:00p,Denver Nuggets,122.0,Oklahoma City Thunder,110.0,Paycom Center
"Fri, Nov 4, 2022",7:00p,Cleveland Cavaliers,112.0,Detroit Pistons,88.0,Little Caesars Arena
"Fri, Nov 4, 2022",7:00p,Miami Heat,99.0,Indiana Pacers,101.0,Gainbridge Fieldhouse
"Fri, Nov 4, 2022",7:00p,New York Knicks,106.0,Philadelphia 76ers,104.0,Wells Fargo Center
"Fri, Nov 4, 2022",7:00p,Brooklyn Nets,128.0,Washington Wizards,86.0,Capital One Arena
"Fri, Nov 4, 2022",7:30p,Chicago Bulls,119.0,Boston Celtics,123.0,TD Garden
"Fri, Nov 4, 2022",8:00p,Charlotte Hornets,99.0,Memphis Grizzlies,130.0,FedEx Forum
"Fri, Nov 4, 2022",8:00p,Los Angeles Clippers,113.0,San Antonio Spurs,106.0,AT&T Center
"Fri, Nov 4, 2022",8:30p,Toronto Raptors,110.0,Dallas Mavericks,111.0,American Airlines Center
"Fri, Nov 4, 2022",8:30p,Golden State Warriors,105.0,New Orleans Pelicans,114.0,Smoothie King Center
"Fri, Nov 4, 2022",10:00p,Milwaukee Bucks,115.0,Minnesota Timberwolves,102.0,Target Center
"Fri, Nov 4, 2022",10:00p,Portland Trail Blazers,108.0,Phoenix Suns,106.0,Footprint Center
"Fri, Nov 4, 2022",10:30p,Utah Jazz,130.0,Los Angeles Lakers,116.0,Crypto.com Arena
"Sat, Nov 5, 2022",5:00p,Sacramento Kings,126.0,Orlando Magic,123.0,Amway Center
"Sat, Nov 5, 2022",7:00p,Brooklyn Nets,98.0,Charlotte Hornets,94.0,Spectrum Center
"Sat, Nov 5, 2022",7:30p,New Orleans Pelicans,121.0,Atlanta Hawks,124.0,State Farm Arena
"Sat, Nov 5, 2022",7:30p,Boston Celtics,133.0,New York Knicks,118.0,Madison Square Garden (IV)
"Sat, Nov 5, 2022",8:00p,Oklahoma City Thunder,94.0,Milwaukee Bucks,108.0,Fiserv Forum
"Sat, Nov 5, 2022",8:00p,Houston Rockets,117.0,Minnesota Timberwolves,129.0,Target Center
"Sat, Nov 5, 2022",9:00p,San Antonio Spurs,101.0,Denver Nuggets,126.0,Ball Arena
"Sat, Nov 5, 2022",10:00p,Portland Trail Blazers,82.0,Phoenix Suns,102.0,Footprint Center
"Sun, Nov 6, 2022",3:30p,Cleveland Cavaliers,114.0,Los Angeles Lakers,100.0,Crypto.com Arena
"Sun, Nov 6, 2022",6:00p,Washington Wizards,97.0,Memphis Grizzlies,103.0,FedEx Forum
"Sun, Nov 6, 2022",6:00p,Chicago Bulls,104.0,Toronto Raptors,113.0,Scotiabank Arena
"Sun, Nov 6, 2022",10:00p,Utah Jazz,110.0,Los Angeles Clippers,102.0,Crypto.com Arena
"Mon, Nov 7, 2022",7:00p,Washington Wizards,108.0,Charlotte Hornets,100.0,Spectrum Center
"Mon, Nov 7, 2022",7:15p,Houston Rockets,134.0,Orlando Magic,127.0,Amway Center
"Mon, Nov 7, 2022",7:30p,Oklahoma City Thunder,103.0,Detroit Pistons,112.0,Little Caesars Arena
"Mon, Nov 7, 2022",7:45p,New Orleans Pelicans,122.0,Indiana Pacers,129.0,Gainbridge Fieldhouse
"Mon, Nov 7, 2022",8:00p,Phoenix Suns,88.0,Philadelphia 76ers,100.0,Wells Fargo Center
"Mon, Nov 7, 2022",8:15p,Milwaukee Bucks,98.0,Atlanta Hawks,117.0,State Farm Arena
"Mon, Nov 7, 2022",8:30p,Portland Trail Blazers,110.0,Miami Heat,107.0,FTX Arena
"Mon, Nov 7, 2022",8:45p,Toronto Raptors,97.0,Chicago Bulls,111.0,United Center
"Mon, Nov 7, 2022",9:00p,Boston Celtics,109.0,Memphis Grizzlies,106.0,FedEx Forum
"Mon, Nov 7, 2022",9:15p,New York Knicks,120.0,Minnesota Timberwolves,107.0,Target Center
"Mon, Nov 7, 2022",9:30p,Denver Nuggets,115.0,San Antonio Spurs,109.0,AT&T Center
"Mon, Nov 7, 2022",9:45p,Brooklyn Nets,94.0,Dallas Mavericks,96.0,American Airlines Center
"Mon, Nov 7, 2022",10:00p,Sacramento Kings,113.0,Golden State Warriors,116.0,Chase Center
"Mon, Nov 7, 2022",10:15p,Los Angeles Lakers,116.0,Utah Jazz,139.0,Vivint Arena
"Mon, Nov 7, 2022",10:30p,Cleveland Cavaliers,117.0,Los Angeles Clippers,119.0,Crypto.com Arena
"Wed, Nov 9, 2022",5:30p,Dallas Mavericks,87.0,Orlando Magic,94.0,Amway Center
"Wed, Nov 9, 2022",7:00p,Portland Trail Blazers,105.0,Charlotte Hornets,95.0,Spectrum Center
"Wed, Nov 9, 2022",7:00p,Denver Nuggets,122.0,Indiana Pacers,119.0,Gainbridge Fieldhouse
"Wed, Nov 9, 2022",7:30p,Utah Jazz,125.0,Atlanta Hawks,119.0,State Farm Arena
"Wed, Nov 9, 2022",7:30p,Detroit Pistons,112.0,Boston Celtics,128.0,TD Garden
"Wed, Nov 9, 2022",7:30p,New York Knicks,85.0,Brooklyn Nets,112.0,Barclays Center
"Wed, Nov 9, 2022",7:30p,Houston Rockets,109.0,Toronto Raptors,116.0,Scotiabank Arena
"Wed, Nov 9, 2022",8:00p,New Orleans Pelicans,115.0,Chicago Bulls,111.0,United Center
"Wed, Nov 9, 2022",8:00p,Phoenix Suns,129.0,Minnesota Timberwolves,117.0,Target Center
"Wed, Nov 9, 2022",8:00p,Milwaukee Bucks,136.0,Oklahoma City Thunder,132.0,Paycom Center
"Wed, Nov 9, 2022",8:00p,Memphis Grizzlies,124.0,San Antonio Spurs,122.0,AT&T Center
"Wed, Nov 9, 2022",10:00p,Los Angeles Lakers,101.0,Los Angeles Clippers,114.0,Crypto.com Arena
"Wed, Nov 9, 2022",10:00p,Cleveland Cavaliers,120.0,Sacramento Kings,127.0,Golden 1 Center
"Thu, Nov 10, 2022",7:00p,Dallas Mavericks,105.0,Washington Wizards,113.0,Capital One Arena
"Thu, Nov 10, 2022",7:30p,Philadelphia 76ers,95.0,Atlanta Hawks,104.0,State Farm Arena
"Thu, Nov 10, 2022",7:30p,Charlotte Hornets,112.0,Miami Heat,117.0,FTX Arena
"Thu, Nov 10, 2022",8:00p,Portland Trail Blazers,106.0,New Orleans Pelicans,95.0,Smoothie King Center
"Fri, Nov 11, 2022",7:00p,Denver Nuggets,112.0,Boston Celtics,131.0,TD Garden
"Fri, Nov 11, 2022",7:00p,Phoenix Suns,97.0,Orlando Magic,114.0,Amway Center
"Fri, Nov 11, 2022",7:30p,Detroit Pistons,112.0,New York Knicks,121.0,Madison Square Garden (IV)
"Fri, Nov 11, 2022",8:00p,Toronto Raptors,113.0,Oklahoma City Thunder,132.0,Paycom Center
"Fri, Nov 11, 2022",8:00p,Milwaukee Bucks,93.0,San Antonio Spurs,111.0,AT&T Center
"Fri, Nov 11, 2022",9:30p,Minnesota Timberwolves,103.0,Memphis Grizzlies,114.0,FedEx Forum
"Fri, Nov 11, 2022",10:00p,Cleveland Cavaliers,101.0,Golden State Warriors,106.0,Chase Center
"Fri, Nov 11, 2022",10:30p,Sacramento Kings,120.0,Los Angeles Lakers,114.0,Crypto.com Arena
"Sat, Nov 12, 2022",4:00p,Brooklyn Nets,110.0,Los Angeles Clippers,95.0,Crypto.com Arena
"Sat, Nov 12, 2022",6:00p,Utah Jazz,112.0,Washington Wizards,121.0,Capital One Arena
"Sat, Nov 12, 2022",7:00p,Boston Celtics,117.0,Detroit Pistons,108.0,Little Caesars Arena
"Sat, Nov 12, 2022",7:00p,Toronto Raptors,104.0,Indiana Pacers,118.0,Gainbridge Fieldhouse
"Sat, Nov 12, 2022",7:30p,Atlanta Hawks,109.0,Philadelphia 76ers,121.0,Wells Fargo Center
"Sat, Nov 12, 2022",8:00p,Charlotte Hornets,115.0,Miami Heat,132.0,FTX Arena
"Sat, Nov 12, 2022",8:30p,Portland Trail Blazers,112.0,Dallas Mavericks,117.0,American Airlines Center
"Sat, Nov 12, 2022",8:30p,Houston Rockets,106.0,New Orleans Pelicans,119.0,Smoothie King Center
"Sun, Nov 13, 2022",12:00p,Oklahoma City Thunder,145.0,New York Knicks,135.0,Madison Square Garden (IV)
"Sun, Nov 13, 2022",6:00p,Minnesota Timberwolves,129.0,Cleveland Cavaliers,124.0,Rocket Mortgage Fieldhouse
"Sun, Nov 13, 2022",6:00p,Memphis Grizzlies,92.0,Washington Wizards,102.0,Capital One Arena
