Date,Start (ET),AwayTeam,AwayPoints,HomeTeam,HomePoints,Arena
"Sun, Nov 13, 2022",7:30p,Utah Jazz,98.0,Philadelphia 76ers,105.0,Wells Fargo Center
"Sun, Nov 13, 2022",8:00p,Denver Nuggets,126.0,Chicago Bulls,103.0,United Center
"Sun, Nov 13, 2022",9:00p,Golden State Warriors,115.0,Sacramento Kings,122.0,Golden 1 Center
"Sun, Nov 13, 2022",9:30p,Brooklyn Nets,103.0,Los Angeles Lakers,116.0,Crypto.com Arena
"Mon, Nov 14, 2022",7:00p,Toronto Raptors,115.0,Detroit Pistons,111.0,Little Caesars Arena
"Mon, Nov 14, 2022",7:00p,Charlotte Hornets,112.0,Orlando Magic,105.0,Amway Center
"Mon, Nov 14, 2022",7:30p,Oklahoma City Thunder,122.0,Boston Celtics,126.0,TD Garden
"Mon, Nov 14, 2022",7:30p,Phoenix Suns,112.0,Miami Heat,113.0,FTX Arena
"Mon, Nov 14, 2022",8:00p,Los Angeles Clippers,122.0,Houston Rockets,106.0,Toyota Center
"Mon, Nov 14, 2022",8:00p,Atlanta Hawks,121.0,Milwaukee Bucks,106.0,Fiserv Forum
"Mon, Nov 14, 2022",10:00p,San Antonio Spurs,95.0,Golden State Warriors,132.0,Chase Center
"Tue, Nov 15, 2022",7:30p,Memphis Grizzlies,102.0,New Orleans Pelicans,113.0,Smoothie King Center
"Tue, Nov 15, 2022",8:30p,Los Angeles Clippers,101.0,Dallas Mavericks,103.0,American Airlines Center
"Tue, Nov 15, 2022",9:00p,New York Knicks,118.0,Utah Jazz,111.0,Vivint Arena
"Tue, Nov 15, 2022",10:00p,San Antonio Spurs,110.0,Portland Trail Blazers,117.0,Moda Center
"Tue, Nov 15, 2022",10:00p,Brooklyn Nets,121.0,Sacramento Kings,153.0,Golden 1 Center
"Wed, Nov 16, 2022",7:00p,Indiana Pacers,125.0,Charlotte Hornets,113.0,Spectrum Center
"Wed, Nov 16, 2022",7:00p,Minnesota Timberwolves,126.0,Orlando Magic,108.0,Amway Center
"Wed, Nov 16, 2022",7:00p,Oklahoma City Thunder,121.0,Washington Wizards,120.0,Capital One Arena
"Wed, Nov 16, 2022",7:30p,Boston Celtics,126.0,Atlanta Hawks,101.0,State Farm Arena
"Wed, Nov 16, 2022",7:30p,Miami Heat,104.0,Toronto Raptors,112.0,Scotiabank Arena
"Wed, Nov 16, 2022",8:00p,Cleveland Cavaliers,98.0,Milwaukee Bucks,113.0,Fiserv Forum
"Wed, Nov 16, 2022",8:00p,Chicago Bulls,110.0,New Orleans Pelicans,124.0,Smoothie King Center
"Wed, Nov 16, 2022",8:30p,Houston Rockets,101.0,Dallas Mavericks,92.0,American Airlines Center
"Wed, Nov 16, 2022",10:00p,New York Knicks,106.0,Denver Nuggets,103.0,Ball Arena
"Wed, Nov 16, 2022",10:00p,Golden State Warriors,119.0,Phoenix Suns,130.0,Footprint Center
"Thu, Nov 17, 2022",10:00p,Brooklyn Nets,109.0,Portland Trail Blazers,107.0,Moda Center
"Thu, Nov 17, 2022",10:00p,San Antonio Spurs,112.0,Sacramento Kings,130.0,Golden 1 Center
"Thu, Nov 17, 2022",10:30p,Detroit Pistons,91.0,Los Angeles Clippers,96.0,Crypto.com Arena
"Fri, Nov 18, 2022",7:00p,Miami Heat,106.0,Washington Wizards,107.0,Capital One Arena
"Fri, Nov 18, 2022",7:30p,Charlotte Hornets,122.0,Cleveland Cavaliers,132.0,Rocket Mortgage Fieldhouse
"Fri, Nov 18, 2022",7:30p,Milwaukee Bucks,102.0,Philadelphia 76ers,110.0,Wells Fargo Center
"Fri, Nov 18, 2022",8:00p,Orlando Magic,108.0,Chicago Bulls,107.0,United Center
"Fri, Nov 18, 2022",8:00p,Indiana Pacers,99.0,Houston Rockets,91.0,Toyota Center
"Fri, Nov 18, 2022",8:00p,Oklahoma City Thunder,110.0,Memphis Grizzlies,121.0,FedEx Forum
"Fri, Nov 18, 2022",8:30p,Denver Nuggets,99.0,Dallas Mavericks,127.0,American Airlines Center
"Fri, Nov 18, 2022",8:30p,Boston Celtics,117.0,New Orleans Pelicans,109.0,Smoothie King Center
"Fri, Nov 18, 2022",9:00p,Phoenix Suns,133.0,Utah Jazz,134.0,Vivint Arena
"Fri, Nov 18, 2022",10:00p,New York Knicks,101.0,Golden State Warriors,111.0,Chase Center
"Fri, Nov 18, 2022",10:30p,Detroit Pistons,121.0,Los Angeles Lakers,128.0,Crypto.com Arena
"Sat, Nov 19, 2022",6:00p,Toronto Raptors,122.0,Atlanta Hawks,124.0,State Farm Arena
"Sat, Nov 19, 2022",7:00p,Orlando Magic,113.0,Indiana Pacers,114.0,Gainbridge Fieldhouse
"Sat, Nov 19, 2022",7:30p,Minnesota Timberwolves,112.0,Philadelphia 76ers,109.0,Wells Fargo Center
"Sat, Nov 19, 2022",10:00p,Utah Jazz,118.0,Portland Trail Blazers,113.0,Moda Center
"Sat, Nov 19, 2022",10:30p,San Antonio Spurs,97.0,Los Angeles Clippers,119.0,Crypto.com Arena
"Sun, Nov 20, 2022",3:30p,New York Knicks,95.0,Phoenix Suns,116.0,Footprint Center
"Sun, Nov 20, 2022",6:00p,Detroit Pistons,129.0,Sacramento Kings,137.0,Golden 1 Center
"Sun, Nov 20, 2022",6:00p,Charlotte Hornets,102.0,Washington Wizards,106.0,Capital One Arena
"Sun, Nov 20, 2022",7:00p,Memphis Grizzlies,115.0,Brooklyn Nets,127.0,Barclays Center
"Sun, Nov 20, 2022",7:00p,Miami Heat,87.0,Cleveland Cavaliers,113.0,Rocket Mortgage Fieldhouse
"Sun, Nov 20, 2022",7:00p,Golden State Warriors,127.0,Houston Rockets,120.0,Toyota Center
"Sun, Nov 20, 2022",7:30p,Denver Nuggets,98.0,Dallas Mavericks,97.0,American Airlines Center
"Sun, Nov 20, 2022",9:30p,San Antonio Spurs,92.0,Los Angeles Lakers,123.0,Crypto.com Arena
"Mon, Nov 21, 2022",7:00p,Atlanta Hawks,102.0,Cleveland Cavaliers,114.0,Rocket Mortgage Fieldhouse
"Mon, Nov 21, 2022",7:00p,Orlando Magic,102.0,Indiana Pacers,123.0,Gainbridge Fieldhouse
"Mon, Nov 21, 2022",8:00p,Boston Celtics,107.0,Chicago Bulls,121.0,United Center
"Mon, Nov 21, 2022",8:00p,Portland Trail Blazers,111.0,Milwaukee Bucks,119.0,Fiserv Forum
"Mon, Nov 21, 2022",8:00p,Miami Heat,101.0,Minnesota Timberwolves,105.0,Target Center
"Mon, Nov 21, 2022",8:00p,Golden State Warriors,83.0,New Orleans Pelicans,128.0,Smoothie King Center
"Mon, Nov 21, 2022",8:00p,New York Knicks,129.0,Oklahoma City Thunder,119.0,Paycom Center
"Mon, Nov 21, 2022",10:30p,Utah Jazz,114.0,Los Angeles Clippers,121.0,Crypto.com Arena
"Tue, Nov 22, 2022",7:30p,Brooklyn Nets,106.0,Philadelphia 76ers,115.0,Wells Fargo Center
"Tue, Nov 22, 2022",8:00p,Sacramento Kings,113.0,Memphis Grizzlies,109.0,FedEx Forum
"Tue, Nov 22, 2022",9:00p,Detroit Pistons,110.0,Denver Nuggets,108.0,Ball Arena
"Tue, Nov 22, 2022",10:00p,Los Angeles Lakers,105.0,Phoenix Suns,115.0,Footprint Center
"Wed, Nov 23, 2022",7:00p,Philadelphia 76ers,101.0,Charlotte Hornets,107.0,Spectrum Center
"Wed, Nov 23, 2022",7:00p,Portland Trail Blazers,96.0,Cleveland Cavaliers,114.0,Rocket Mortgage Fieldhouse
"Wed, Nov 23, 2022",7:00p,Minnesota Timberwolves,115.0,Indiana Pacers,101.0,Gainbridge Fieldhouse
"Wed, Nov 23, 2022",7:30p,Sacramento Kings,106.0,Atlanta Hawks,115.0,State Farm Arena
"Wed, Nov 23, 2022",7:30p,Dallas Mavericks,112.0,Boston Celtics,125.0,TD Garden
"Wed, Nov 23, 2022",7:30p,Washington Wizards,105.0,Miami Heat,113.0,FTX Arena
"Wed, Nov 23, 2022",7:30p,Brooklyn Nets,112.0,Toronto Raptors,98.0,Scotiabank Arena
"Wed, Nov 23, 2022",8:00p,Chicago Bulls,118.0,Milwaukee Bucks,113.0,Fiserv Forum
"Wed, Nov 23, 2022",8:00p,Denver Nuggets,131.0,Oklahoma City Thunder,126.0,Paycom Center
"Wed, Nov 23, 2022",8:00p,New Orleans Pelicans,129.0,San Antonio Spurs,110.0,AT&T Center
"Wed, Nov 23, 2022",9:00p,Detroit Pistons,125.0,Utah Jazz,116.0,Vivint Arena
"Wed, Nov 23, 2022",10:00p,Los Angeles Clippers,107.0,Golden State Warriors,124.0,Chase Center
"Fri, Nov 25, 2022",5:00p,Minnesota Timberwolves,108.0,Charlotte Hornets,110.0,Spectrum Center
"Fri, Nov 25, 2022",7:00p,Philadelphia 76ers,107.0,Orlando Magic,99.0,Amway Center
"Fri, Nov 25, 2022",7:30p,Portland Trail Blazers,132.0,New York Knicks,129.0,Madison Square Garden (IV)
"Fri, Nov 25, 2022",8:00p,Sacramento Kings,104.0,Boston Celtics,122.0,TD Garden
"Fri, Nov 25, 2022",8:00p,Atlanta Hawks,122.0,Houston Rockets,128.0,Toyota Center
"Fri, Nov 25, 2022",8:00p,Brooklyn Nets,117.0,Indiana Pacers,128.0,Gainbridge Fieldhouse
"Fri, Nov 25, 2022",8:00p,New Orleans Pelicans,111.0,Memphis Grizzlies,132.0,FedEx Forum
"Fri, Nov 25, 2022",8:00p,Washington Wizards,107.0,Miami Heat,110.0,FTX Arena
"Fri, Nov 25, 2022",8:00p,Cleveland Cavaliers,102.0,Milwaukee Bucks,117.0,Fiserv Forum
"Fri, Nov 25, 2022",8:00p,Chicago Bulls,119.0,Oklahoma City Thunder,123.0,Paycom Center
"Fri, Nov 25, 2022",8:00p,Los Angeles Lakers,105.0,San Antonio Spurs,94.0,AT&T Center
"Fri, Nov 25, 2022",9:00p,Detroit Pistons,102.0,Phoenix Suns,108.0,Footprint Center
"Fri, Nov 25, 2022",10:00p,Utah Jazz,118.0,Golden State Warriors,129.0,Chase Center
"Fri, Nov 25, 2022",10:30p,Denver Nuggets,114.0,Los Angeles Clippers,104.0,Crypto.com Arena
"Sat, Nov 26, 2022",5:00p,Dallas Mavericks,100.0,Toronto Raptors,105.0,Scotiabank Arena
"Sat, Nov 26, 2022",8:00p,Oklahoma City Thunder,105.0,Houston Rockets,118.0,Toyota Center
"Sat, Nov 26, 2022",8:00p,Los Angeles Lakers,143.0,San Antonio Spurs,138.0,AT&T Center
"Sat, Nov 26, 2022",9:00p,Utah Jazz,112.0,Phoenix Suns,113.0,Footprint Center
"Sun, Nov 27, 2022",3:00p,Portland Trail Blazers,97.0,Brooklyn Nets,111.0,Barclays Center
"Sun, Nov 27, 2022",3:30p,Golden State Warriors,137.0,Minnesota Timberwolves,114.0,Target Center
"Sun, Nov 27, 2022",4:00p,Indiana Pacers,100.0,Los Angeles Clippers,114.0,Crypto.com Arena
"Sun, Nov 27, 2022",5:00p,Miami Heat,106.0,Atlanta Hawks,98.0,State Farm Arena
"Sun, Nov 27, 2022",6:00p,Washington Wizards,121.0,Boston Celtics,130.0,TD Garden
"Sun, Nov 27, 2022",6:00p,Cleveland Cavaliers,102.0,Detroit Pistons,94.0,Little Caesars Arena
"Sun, Nov 27, 2022",6:00p,Memphis Grizzlies,127.0,New York Knicks,123.0,Madison Square Garden (IV)
"Sun, Nov 27, 2022",6:00p,Philadelphia 76ers,133.0,Orlando Magic,103.0,Amway Center
"Sun, Nov 27, 2022",8:00p,Dallas Mavericks,115.0,Milwaukee Bucks,124.0,Fiserv Forum
"Mon, Nov 28, 2022",7:00p,Atlanta Hawks,101.0,Philadelphia 76ers,104.0,Wells Fargo Center
"Mon, Nov 28, 2022",7:00p,Minnesota Timberwolves,127.0,Washington Wizards,142.0,Capital One Arena
"Mon, Nov 28, 2022",7:30p,Charlotte Hornets,105.0,Boston Celtics,140.0,TD Garden
"Mon, Nov 28, 2022",7:30p,Orlando Magic,102.0,Brooklyn Nets,109.0,Barclays Center
"Mon, Nov 28, 2022",7:30p,Cleveland Cavaliers,88.0,Toronto Raptors,100.0,Scotiabank Arena
"Mon, Nov 28, 2022",8:00p,Oklahoma City Thunder,101.0,New Orleans Pelicans,105.0,Smoothie King Center
"Mon, Nov 28, 2022",9:00p,Houston Rockets,113.0,Denver Nuggets,129.0,Ball Arena
"Mon, Nov 28, 2022",9:00p,Chicago Bulls,114.0,Utah Jazz,107.0,Vivint Arena
"Mon, Nov 28, 2022",10:00p,Phoenix Suns,122.0,Sacramento Kings,117.0,Golden 1 Center
"Mon, Nov 28, 2022",10:30p,Indiana Pacers,116.0,Los Angeles Lakers,115.0,Crypto.com Arena
"Tue, Nov 29, 2022",7:00p,New York Knicks,140.0,Detroit Pistons,110.0,Little Caesars Arena
"Tue, Nov 29, 2022",7:30p,Golden State Warriors,113.0,Dallas Mavericks,116.0,American Airlines Center
"Tue, Nov 29, 2022",10:00p,Los Angeles Clippers,118.0,Portland Trail Blazers,112.0,Moda Center
"Wed, Nov 30, 2022",7:00p,Philadelphia 76ers,85.0,Cleveland Cavaliers,113.0,Rocket Mortgage Fieldhouse
"Wed, Nov 30, 2022",7:00p,Atlanta Hawks,125.0,Orlando Magic,108.0,Amway Center
"Wed, Nov 30, 2022",7:30p,Miami Heat,121.0,Boston Celtics,134.0,TD Garden
"Wed, Nov 30, 2022",7:30p,Washington Wizards,107.0,Brooklyn Nets,113.0,Barclays Center
"Wed, Nov 30, 2022",7:30p,Milwaukee Bucks,109.0,New York Knicks,103.0,Madison Square Garden (IV)
"Wed, Nov 30, 2022",8:00p,Memphis Grizzlies,101.0,Minnesota Timberwolves,109.0,Target Center
"Wed, Nov 30, 2022",8:00p,Toronto Raptors,108.0,New Orleans Pelicans,126.0,Smoothie King Center
"Wed, Nov 30, 2022",8:00p,San Antonio Spurs,111.0,Oklahoma City Thunder,119.0,Paycom Center
"Wed, Nov 30, 2022",9:00p,Houston Rockets,100.0,Denver Nuggets,120.0,Ball Arena
"Wed, Nov 30, 2022",9:00p,Chicago Bulls,113.0,Phoenix Suns,132.0,Footprint Center
"Wed, Nov 30, 2022",9:00p,Los Angeles Clippers,112.0,Utah Jazz,125.0,Vivint Arena
"Wed, Nov 30, 2022",10:00p,Indiana Pacers,114.0,Sacramento Kings,137.0,Golden 1 Center
"Wed, Nov 30, 2022",10:30p,Portland Trail Blazers,109.0,Los Angeles Lakers,128.0,Crypto.com Arena
"Thu, Dec 1, 2022",7:00p,Dallas Mavericks,125.0,Detroit Pistons,131.0,Little Caesars Arena
"Fri, Dec 2, 2022",7:00p,Washington Wizards,116.0,Charlotte Hornets,117.0,Spectrum Center
"Fri, Dec 2, 2022",7:30p,Denver Nuggets,109.0,Atlanta Hawks,117.0,State Farm Arena
"Fri, Dec 2, 2022",7:30p,Miami Heat,120.0,Boston Celtics,116.0,TD Garden
"Fri, Dec 2, 2022",7:30p,Toronto Raptors,105.0,Brooklyn Nets,114.0,Barclays Center
"Fri, Dec 2, 2022",7:30p,Orlando Magic,96.0,Cleveland Cavaliers,107.0,Rocket Mortgage Fieldhouse
"Fri, Dec 2, 2022",7:30p,Los Angeles Lakers,133.0,Milwaukee Bucks,129.0,Fiserv Forum
"Fri, Dec 2, 2022",8:00p,Philadelphia 76ers,109.0,Memphis Grizzlies,117.0,FedEx Forum
"Fri, Dec 2, 2022",8:00p,New Orleans Pelicans,117.0,San Antonio Spurs,99.0,AT&T Center
"Fri, Dec 2, 2022",9:00p,Houston Rockets,122.0,Phoenix Suns,121.0,Footprint Center
"Fri, Dec 2, 2022",9:00p,Indiana Pacers,119.0,Utah Jazz,139.0,Vivint Arena
"Fri, Dec 2, 2022",10:00p,Chicago Bulls,111.0,Golden State Warriors,119.0,Chase Center
"Sun, Jan 1, 2023",8:00p,Boston Celtics,111.0,Denver Nuggets,123.0,
"Sun, Jan 1, 2023",8:00p,Sacramento Kings,108.0,Memphis Grizzlies,118.0,
"Sun, Jan 1, 2023",8:00p,Washington Wizards,118.0,Milwaukee Bucks,95.0,
"Mon, Jan 2, 2023",3:00p,Phoenix Suns,83.0,New York Knicks,102.0,
"Mon, Jan 2, 2023",7:00p,Los Angeles Lakers,121.0,Charlotte Hornets,115.0,
"Mon, Jan 2, 2023",7:00p,Chicago Bulls,134.0,Cleveland Cavaliers,145.0,
"Mon, Jan 2, 2023",7:00p,Toronto Raptors,114.0,Indiana Pacers,122.0,
"Mon, Jan 2, 2023",7:00p,New Orleans Pelicans,111.0,Philadelphia 76ers,120.0,
"Mon, Jan 2, 2023",7:30p,San Antonio Spurs,103.0,Brooklyn Nets,139.0,
"Mon, Jan 2, 2023",8:00p,Dallas Mavericks,111.0,Houston Rockets,106.0,
"Mon, Jan 2, 2023",8:00p,Denver Nuggets,111.0,Minnesota Timberwolves,124.0,
"Mon, Jan 2, 2023",10:00p,Atlanta Hawks,141.0,Golden State Warriors,143.0,
"Mon, Jan 2, 2023",10:00p,Detroit Pistons,106.0,Portland Trail Blazers,135.0,
"Mon, Jan 2, 2023",10:30p,Miami Heat,110.0,Los Angeles Clippers,100.0,
"Tue, Jan 3, 2023",8:00p,Washington Wizards,113.0,Milwaukee Bucks,123.0,
"Tue, Jan 3, 2023",8:00p,Boston Celtics,117.0,Oklahoma City Thunder,150.0,
"Tue, Jan 3, 2023",9:00p,Sacramento Kings,117.0,Utah Jazz,115.0,
"Wed, Jan 4, 2023",7:00p,Memphis Grizzlies,131.0,Charlotte Hornets,107.0,
"Wed, Jan 4, 2023",7:00p,Phoenix Suns,88.0,Cleveland Cavaliers,90.0,
"Wed, Jan 4, 2023",7:00p,Oklahoma City Thunder,115.0,Orlando Magic,126.0,
"Wed, Jan 4, 2023",7:00p,Indiana Pacers,126.0,Philadelphia 76ers,129.0,
"Wed, Jan 4, 2023",7:30p,San Antonio Spurs,114.0,New York Knicks,117.0,
"Wed, Jan 4, 2023",7:30p,Milwaukee Bucks,104.0,Toronto Raptors,101.0,
"Wed, Jan 4, 2023",8:00p,Brooklyn Nets,112.0,Chicago Bulls,121.0,
"Wed, Jan 4, 2023",8:00p,Portland Trail Blazers,106.0,Minnesota Timberwolves,113.0,
"Wed, Jan 4, 2023",8:00p,Houston Rockets,108.0,New Orleans Pelicans,119.0,
"Wed, Jan 4, 2023",10:00p,Detroit Pistons,122.0,Golden State Warriors,119.0,
"Wed, Jan 4, 2023",10:00p,Miami Heat,109.0,Los Angeles Lakers,112.0,
"Wed, Jan 4, 2023",10:00p,Atlanta Hawks,120.0,Sacramento Kings,117.0,
"Thu, Jan 5, 2023",7:00p,Memphis Grizzlies,123.0,Orlando Magic,115.0,
"Thu, Jan 5, 2023",7:30p,Boston Celtics,124.0,Dallas Mavericks,95.0,
"Thu, Jan 5, 2023",8:00p,Utah Jazz,131.0,Houston Rockets,114.0,
"Thu, Jan 5, 2023",10:00p,Los Angeles Clippers,91.0,Denver Nuggets,122.0,
"Fri, Jan 6, 2023",7:00p,Portland Trail Blazers,99.0,Indiana Pacers,108.0,
"Fri, Jan 6, 2023",7:00p,Chicago Bulls,126.0,Philadelphia 76ers,112.0,
"Fri, Jan 6, 2023",7:30p,Brooklyn Nets,108.0,New Orleans Pelicans,102.0,
"Fri, Jan 6, 2023",7:30p,New York Knicks,112.0,Toronto Raptors,108.0,
"Fri, Jan 6, 2023",8:00p,Charlotte Hornets,138.0,Milwaukee Bucks,109.0,
"Fri, Jan 6, 2023",8:00p,Washington Wizards,110.0,Oklahoma City Thunder,127.0,
"Fri, Jan 6, 2023",8:00p,Detroit Pistons,109.0,San Antonio Spurs,121.0,
"Fri, Jan 6, 2023",9:00p,Cleveland Cavaliers,108.0,Denver Nuggets,121.0,
"Fri, Jan 6, 2023",9:00p,Los Angeles Clippers,115.0,Minnesota Timberwolves,128.0,
"Fri, Jan 6, 2023",10:00p,Miami Heat,104.0,Phoenix Suns,96.0,
"Fri, Jan 6, 2023",10:30p,Atlanta Hawks,114.0,Los Angeles Lakers,130.0,
"Sat, Jan 7, 2023",6:00p,Boston Celtics,121.0,San Antonio Spurs,116.0,
"Sat, Jan 7, 2023",8:00p,Utah Jazz,118.0,Chicago Bulls,126.0,
"Sat, Jan 7, 2023",8:00p,New Orleans Pelicans,117.0,Dallas Mavericks,127.0,
"Sat, Jan 7, 2023",8:30p,Orlando Magic,115.0,Golden State Warriors,101.0,
"Sat, Jan 7, 2023",10:00p,Los Angeles Lakers,136.0,Sacramento Kings,134.0,
"Sun, Jan 8, 2023",3:00p,Philadelphia 76ers,123.0,Detroit Pistons,111.0,
"Sun, Jan 8, 2023",3:30p,Portland Trail Blazers,105.0,Toronto Raptors,117.0,
"Sun, Jan 8, 2023",5:00p,Charlotte Hornets,111.0,Indiana Pacers,116.0,
"Sun, Jan 8, 2023",6:00p,Utah Jazz,118.0,Memphis Grizzlies,123.0,
"Sun, Jan 8, 2023",6:00p,Brooklyn Nets,102.0,Miami Heat,101.0,
"Sun, Jan 8, 2023",7:00p,Minnesota Timberwolves,104.0,Houston Rockets,96.0,
"Sun, Jan 8, 2023",7:00p,Dallas Mavericks,109.0,Oklahoma City Thunder,120.0,
"Sun, Jan 8, 2023",8:00p,Cleveland Cavaliers,112.0,Phoenix Suns,98.0,
"Sun, Jan 8, 2023",9:00p,Atlanta Hawks,112.0,Los Angeles Clippers,108.0,
"Mon, Jan 9, 2023",7:00p,New Orleans Pelicans,132.0,Washington Wizards,112.0,
"Mon, Jan 9, 2023",7:30p,Chicago Bulls,99.0,Boston Celtics,107.0,
"Mon, Jan 9, 2023",7:30p,Milwaukee Bucks,111.0,New York Knicks,107.0,
"Mon, Jan 9, 2023",8:00p,San Antonio Spurs,113.0,Memphis Grizzlies,121.0,
"Mon, Jan 9, 2023",9:00p,Los Angeles Lakers,109.0,Denver Nuggets,122.0,
"Mon, Jan 9, 2023",10:00p,Orlando Magic,111.0,Sacramento Kings,136.0,
